관리번호,정류장명,그늘,의자,도착안내기,쉘터,촬영시점(YYYY.MM),조사자,비고
250026567,강촌역,있음,있음,있음,있음,,시설이미지 라벨링(병합본),
257800106,용골상회,없음,없음,없음,없음,,시설이미지 라벨링(병합본),
257800107,용골상회,없음,없음,없음,없음,,시설이미지 라벨링(병합본),
250026903,강원대중앙도서관,있음,있음,없음,없음,,시설이미지 라벨링(병합본),
250026904,강원대중앙도서관,없음,없음,없음,없음,,시설이미지 라벨링(병합본),
257800108,반곡망단이,있음,있음,없음,없음,,시설이미지 라벨링(병합본),
257800109,반곡망단이,없음,없음,없음,없음,,시설이미지 라벨링(병합본),
250026741,구곡폭포종점,있음,있음,있음,없음,,시설이미지 라벨링(병합본),
250001725,거두1리,없음,없음,없음,없음,,시설이미지 라벨링(병합본),
250001726,거두1리,없음,없음,없음,없음,,시설이미지 라벨링(병합본),
250001951,폴리텍대학,있음,있음,없음,없음,,시설이미지 라벨링(병합본),
257001453,밤벌유원지,없음,없음,없음,없음,,시설이미지 라벨링(병합본),
257001454,밤벌유원지,없음,없음,없음,없음,,시설이미지 라벨링(병합본),
250027125,무림정사입구,없음,없음,없음,없음,,시설이미지 라벨링(병합본),
250027126,무림정사입구,없음,없음,없음,없음,,시설이미지 라벨링(병합본),
250002127,한림대학교,없음,없음,있음,없음,,시설이미지 라벨링(병합본),
265000872,장학교차로,없음,없음,없음,없음,,시설이미지 라벨링(병합본),
250002198,산천1리,없음,없음,없음,없음,,시설이미지 라벨링(병합본),
250002199,산천1리,없음,없음,없음,없음,,시설이미지 라벨링(병합본),
250001749,강원대학병원,있음,있음,있음,없음,,시설이미지 라벨링(병합본),
250002200,산수빌A,없음,없음,없음,없음,,시설이미지 라벨링(병합본),
257800113,역전평,없음,없음,없음,없음,,시설이미지 라벨링(병합본),
257800114,역전평,,,,있음,,시설이미지 라벨링(병합본),
250001758,애니고등학교,있음,있음,있음,없음,,시설이미지 라벨링(병합본),
250001954,원창1리,없음,없음,없음,없음,,시설이미지 라벨링(병합본),
250001955,원창1리,없음,없음,없음,없음,,시설이미지 라벨링(병합본),
265000756,홈플러스,,,있음,있음,,시설이미지 라벨링(병합본),
250026689,홈플러스,없음,없음,없음,없음,,시설이미지 라벨링(병합본),
250001594,대원사,없음,없음,없음,없음,,시설이미지 라벨링(병합본),
250001595,대원사,없음,없음,없음,없음,,시설이미지 라벨링(병합본),
250002237,푸른언덕공원,없음,없음,없음,없음,,시설이미지 라벨링(병합본),
265000786,송암삼거리,없음,없음,없음,없음,,시설이미지 라벨링(병합본),
250002098,송암삼거리,없음,없음,없음,없음,,시설이미지 라벨링(병합본),
250001548,동보빌리지,없음,없음,없음,없음,,시설이미지 라벨링(병합본),
257000114,굴지리종점,없음,없음,없음,없음,,시설이미지 라벨링(병합본),
257001645,굴지리종점,없음,없음,없음,없음,,시설이미지 라벨링(병합본),
250026834,칠전대우A,없음,없음,없음,없음,,시설이미지 라벨링(병합본),
250001659,교동초교입구,있음,있음,없음,없음,,시설이미지 라벨링(병합본),
250001139,방동1리,없음,있음,없음,없음,,시설이미지 라벨링(병합본),
250001798,현지사,없음,없음,없음,없음,,시설이미지 라벨링(병합본),
250002167,서면행정복지센터,없음,없음,없음,없음,,시설이미지 라벨링(병합본),
250002168,서면행정복지센터,있음,있음,있음,없음,,시설이미지 라벨링(병합본),
250027001,장본교앞사거리,없음,없음,없음,없음,,시설이미지 라벨링(병합본),
250027002,장본교앞사거리,없음,없음,없음,없음,,시설이미지 라벨링(병합본),
250026574,남춘천역2번출구,없음,있음,있음,없음,,시설이미지 라벨링(병합본),
250026581,남춘천역2번출구,없음,있음,없음,없음,,시설이미지 라벨링(병합본),
250001373,강원생명과학고,,,있음,있음,,시설이미지 라벨링(병합본),
250001374,강원생명과학고,,,있음,있음,,시설이미지 라벨링(병합본),
250026661,춘천고용복지센터,없음,있음,없음,없음,,시설이미지 라벨링(병합본),
250001095,창촌1리,없음,없음,없음,없음,,시설이미지 라벨링(병합본),
250001769,가정리종점,없음,없음,없음,없음,,시설이미지 라벨링(병합본),
250001794,창촌1리,없음,없음,없음,없음,,시설이미지 라벨링(병합본),
250001795,창촌1리,없음,없음,없음,없음,,시설이미지 라벨링(병합본),
250026731,가정리종점,없음,없음,없음,없음,,시설이미지 라벨링(병합본),
250026537,케이티앤지,있음,있음,있음,없음,,시설이미지 라벨링(병합본),
250027094,춘천자원,없음,없음,없음,없음,,시설이미지 라벨링(병합본),
250027095,춘천자원,없음,없음,없음,없음,,시설이미지 라벨링(병합본),
250002117,소양강댐정상,없음,없음,없음,없음,,시설이미지 라벨링(병합본),
250026905,강원대백록관,있음,있음,있음,없음,,시설이미지 라벨링(병합본),
250026906,강원대백록관,있음,있음,있음,없음,,시설이미지 라벨링(병합본),
265000700,장학해온채A,없음,있음,없음,없음,,시설이미지 라벨링(병합본),
250026568,강촌역,없음,없음,없음,없음,,시설이미지 라벨링(병합본),
250001145,지암리,없음,있음,없음,없음,,시설이미지 라벨링(병합본),
250001146,지암리,없음,없음,없음,없음,,시설이미지 라벨링(병합본),
250001147,지암리,없음,없음,없음,없음,,시설이미지 라벨링(병합본),
250001811,지암리,없음,없음,없음,없음,,시설이미지 라벨링(병합본),
250001814,지암리,없음,없음,없음,없음,,시설이미지 라벨링(병합본),
250001817,지내3리,없음,없음,없음,없음,,시설이미지 라벨링(병합본),
250001818,지내3리,없음,없음,없음,없음,,시설이미지 라벨링(병합본),
257001455,밤나무골,,,,,,시설이미지 라벨링(병합본),
257001456,밤나무골,없음,없음,없음,없음,,시설이미지 라벨링(병합본),
250001229,중부지구대,없음,있음,없음,없음,,시설이미지 라벨링(병합본),
250026809,도재활병원삼거리,,,,,,시설이미지 라벨링(병합본),
250001022,눈썰매장입구,없음,없음,없음,없음,,시설이미지 라벨링(병합본),
250001855,KBS방송국,있음,있음,있음,없음,,시설이미지 라벨링(병합본),
250002235,보안사거리,있음,있음,있음,없음,,시설이미지 라벨링(병합본),
250001263,향교,없음,없음,없음,없음,,시설이미지 라벨링(병합본),
250001563,도민일보,없음,없음,없음,없음,,시설이미지 라벨링(병합본),
250001564,도민일보,없음,없음,없음,없음,,시설이미지 라벨링(병합본),
250000004,거두리주공A,있음,있음,있음,없음,,시설이미지 라벨링(병합본),
250001409,청실A,있음,있음,있음,없음,,시설이미지 라벨링(병합본),
250001963,우석초교,없음,있음,없음,없음,,시설이미지 라벨링(병합본),
250001534,춘천동원학교,없음,없음,없음,없음,,시설이미지 라벨링(병합본),
250001535,춘천동원학교,있음,있음,있음,없음,,시설이미지 라벨링(병합본),
250001460,발산2리,없음,없음,없음,없음,,시설이미지 라벨링(병합본),
250001461,발산2리,없음,없음,없음,없음,,시설이미지 라벨링(병합본),
250001462,발산2리,없음,없음,없음,없음,,시설이미지 라벨링(병합본),
250001463,발산2리,없음,없음,없음,없음,,시설이미지 라벨링(병합본),
250001464,발산2리,없음,없음,없음,없음,,시설이미지 라벨링(병합본),
250001465,발산2리,없음,없음,없음,없음,,시설이미지 라벨링(병합본),
250001466,발산2리,없음,없음,없음,없음,,시설이미지 라벨링(병합본),
250026874,발산2리,없음,없음,없음,없음,,시설이미지 라벨링(병합본),
250026875,발산2리,없음,없음,없음,없음,,시설이미지 라벨링(병합본),
250026876,발산2리,없음,없음,없음,없음,,시설이미지 라벨링(병합본),
250026880,윗샘밭종점,없음,없음,없음,없음,,시설이미지 라벨링(병합본),
250001987,모아엘가A,있음,있음,있음,없음,,시설이미지 라벨링(병합본),
265000670,파크자이A,있음,있음,있음,없음,,시설이미지 라벨링(병합본),
265000671,파크자이A,있음,있음,있음,없음,,시설이미지 라벨링(병합본),
250026892,천년나무A,있음,,있음,있음,,시설이미지 라벨링(병합본),
250026893,천년나무A,있음,,있음,있음,,시설이미지 라벨링(병합본),
250001386,교육대학교,없음,없음,없음,없음,,시설이미지 라벨링(병합본),
250026768,e편한세상,있음,있음,있음,없음,,시설이미지 라벨링(병합본),
250026917,강원고앞,없음,없음,없음,없음,,시설이미지 라벨링(병합본),
250001071,가정진료소,없음,없음,없음,없음,,시설이미지 라벨링(병합본),
250001970,한강수력본부,없음,없음,없음,없음,,시설이미지 라벨링(병합본),
250001994,오탄1리,없음,없음,없음,없음,,시설이미지 라벨링(병합본),2026년 1월 사진
