route_id,route_no,route_type,start_stop,end_stop,first_time,last_time,lookup_date
CCB250000100,1,지선버스,상공회의소,화물공영차고지,0900,2030,2026-07-21
CCB250000200,2,지선버스,상공회의소,현진에버빌1차,0600,2135,2026-07-21
CCB250000201,2-S,지선버스,상공회의소,현진에버빌1차,0630,0650,2026-07-21
CCB250000300,3,지선버스,후평동종점,현진에버빌1차,0535,2145,2026-07-21
CCB250000301,3-S,지선버스,후평동종점,현진에버빌1차,0630,0650,2026-07-21
CCB250000400,4,지선버스,후평동종점,현진에버빌1차,0540,2125,2026-07-21
CCB250000401,4-S,지선버스,후평동종점,현진에버빌1차,0605,0630,2026-07-21
CCB250000600,6,지선버스,후평동종점,송암동,0730,2100,2026-07-21
CCB250000700,7,지선버스,후평동종점,구곡폭포종점,0545,2120,2026-07-21
CCB250000701,7-1,지선버스,후평동종점,구곡폭포종점,0520,2055,2026-07-21
CCB250000702,7-1(창촌농공단지경유),지선버스,후평동종점,구곡폭포종점,0710,0710,2026-07-21
CCB250000703,7(갈때편도),지선버스,후평동종점,구곡폭포종점,0550,0550,2026-07-21
CCB250000704,7-S,지선버스,구곡폭포종점,춘천여고앞,0625,0625,2026-07-21
CCB250000705,7-2,지선버스,바이오산업진흥원,구곡폭포종점,0925,1740,2026-07-21
CCB250000706,7-3,지선버스,후평동종점,칠전대우A,1210,1210,2026-07-21
CCB250000708,7-2(칠전동경유),지선버스,바이오산업진흥원,구곡폭포종점,0640,2025,2026-07-21
CCB250000800,8,지선버스,바이오산업진흥원,청와A,0945,2120,2026-07-21
CCB250000801,8-1,지선버스,바이오산업진흥원,번개시장,0530,2000,2026-07-21
CCB250000802,8-S,지선버스,바이오산업진흥원,청와A,0650,0650,2026-07-21
CCB250000900,9,지선버스,후평동종점,춘천댐종점,0520,2120,2026-07-21
CCB250001000,10,지선버스,상공회의소,춘천지방법원,0555,2225,2026-07-21
CCB250001001,10-1,지선버스,상공회의소,한국토지주택공사,0600,2230,2026-07-21
CCB250001002,10-S,지선버스,상공회의소,춘천지방법원,0715,0715,2026-07-21
CCB250001100,11,지선버스,후평동종점,소양강댐정상,0555,2200,2026-07-21
CCB250001101,11-1,지선버스,후평동종점,소양강댐정상,0555,2130,2026-07-21
CCB250001200,12,지선버스,상공회의소,소양강댐정상,0535,2020,2026-07-21
CCB250001201,12(갈때편도),지선버스,상공회의소,소양강댐정상,0550,0550,2026-07-21
CCB250001202,12-S,지선버스,소양강댐정상,춘천여고앞,0630,0630,2026-07-21
CCB250001300,13,지선버스,후평동종점,윗샘밭종점,0530,2100,2026-07-21
CCB250001301,13(소망마을경유),지선버스,후평동종점,윗샘밭종점,0705,0705,2026-07-21
CCB250001302,13-1,지선버스,천년나무A,춘천초등학교,0955,2040,2026-07-21
CCB250001304,13(갈때편도),지선버스,후평동종점,윗샘밭종점,0625,0625,2026-07-21
CCB250001305,13-S,지선버스,윗샘밭종점,춘천여고,0705,0705,2026-07-21
CCB250001400,14,지선버스,후평동종점,국군춘천병원종점,0720,1930,2026-07-21
CCB250001500,15,지선버스,후평동종점,화물공영차고지,0540,2140,2026-07-21
CCB250001501,15(갈때편도),지선버스,후평동종점,화물공영차고지,0540,0540,2026-07-21
