boarding_stop_id,boarding_stop_names,legal_district_codes,legal_district_names,stop_no,management_id,current_stop_name,longitude,latitude,midday_boardings,match_status,match_method,confidence,source_record_count,boarding_sample_period,mapping_source_dates
4240001,강촌역입구,5111040026,남산면,,,,,,4,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240002,강촌역입구,5111040026,남산면,,,,,,12,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240003,강촌역,5111040027,남산면,,,,,,44,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240004,강촌역,5111040026,남산면,,,,,,314,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240005,성신양회,5111011700,근화동,,,,,,8,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240006,굴봉산역,5111040029,남산면,,,,,,4,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240007,굴봉산역,5111040029,남산면,,,,,,4,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240008,백양리역,5111040029,남산면,,,,,,2,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240010,남춘천역,5111012300,퇴계동,,,,,,1580,unresolved,,,2,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240011,당간지주입구,5111011700,근화동,,,,,,12,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240012,당간지주입구,5111011700,근화동,,,,,,54,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240013,효자교,5111011200,효자동,,,,,,8,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240014,퇴계일성A,5111012300,퇴계동,,,,,,76,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240015,퇴계일성A,5111012300,퇴계동,,,,,,110,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240016,효자교,5111011200,효자동,,,,,,36,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240017,춘천역,5111011700,근화동,,,,,,562,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240018,소양강처녀상,5111011700,근화동,2286,250026550,소양강처녀상,127.72589,37.89369,56,inferred,molit_legal_district_and_kakao_region_unique,medium,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240019,소양강처녀상,5111011300,소양로1가,,,,,,84,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240020,남춘천역,5111012300,퇴계동,,,,,,1386,unresolved,,,2,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240021,호반베르디움,5111039021,동내면,,,,,,394,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240022,금대울,5111031022,동면,,,,,,1,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240023,여우고개사거리,5111012800,신동,,,,,,46,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240024,여우고개사거리,5111012800,신동,,,,,,0,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240025,홈플러스,5111012300,퇴계동,,,,,,240,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240026,우두사거리,5111011800,우두동,,,,,,12,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240027,우두사거리,5111011800,우두동,,,,,,34,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240028,농산물도매시장,5111011900,사농동,,,,,,128,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240029,농산물도매시장,5111011900,사농동,,,,,,174,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240030,봉명1리1반,5111032022,동산면,,,,,,,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240032,봉명2리,5111032022,동산면,,,,,,,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240034,봉의A,5111012000,후평동,,,,,,26,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240035,봉의A,5111012000,후평동,,,,,,426,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240036,봉의중학교,5111011200,효자동,,,,,,174,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240037,봉의중학교,5111011200,효자동,,,,,,500,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240038,봉의초교,5111011100,약사동,,,,,,52,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240136,교대부설초교,5111011200,효자동,,,,,,32,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240137,북산면행복센터,5111038025,북산면,,,,,,,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240138,북산면행복센터,5111038025,북산면,,,,,,10,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240139,보타사입구,5111012600,칠전동,,,,,,106,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240140,보타사입구,5111012600,칠전동,,,,,,10,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240141,사농현대A,5111011900,사농동,,,,,,466,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240142,우두로입구,5111011900,사농동,,,,,,80,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240143,우두로입구,5111011900,사농동,,,,,,32,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240144,사대부고,5111012000,후평동,,,,,,12,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240145,사북면행복센터,5111036021,사북면,,,,,,,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240146,석사삼익A,5111012400,석사동,,,,,,508,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240147,석사A,5111011200,효자동,,,,,,516,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240148,석사A,5111012400,석사동,,,,,,452,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240149,남부지구대,5111012400,석사동,,,,,,28,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240150,남부지구대,5111012400,석사동,2111,250002134,남부지구대,127.74541,37.86152,8,direct,molit_mobile_stop_no_to_chuncheon_stop_no,high,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240151,퇴계현대3차,5111012400,석사동,,,,,,128,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240152,봄내초교,5111012400,석사동,,,,,,190,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240153,설미종점,5111033022,신동면,,,,,,10,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240154,현진에버빌2차,5111012400,석사동,,,,,,194,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240155,성림초등학교,5111012400,석사동,,,,,,20,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240156,한림대학교,5111012200,교동,,,,,,1634,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240157,성원초등학교,5111012300,퇴계동,,,,,,374,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240158,세경3차,5111012000,후평동,,,,,,56,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240159,초록지붕6차,5111012000,후평동,,,,,,128,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240160,초록지붕8차,5111012000,후평동,,,,,,0,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240161,사우사거리,5111011800,우두동,,,,,,774,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240162,소양2교,5111011800,우두동,,,,,,176,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240163,소양강댐사택,5111025022,신북읍,,,,,,0,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240164,소양강댐사택,5111025022,신북읍,2095,265000803,소양강댐사택,127.79357,37.93266,8,direct,molit_mobile_stop_no_to_chuncheon_stop_no,high,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240165,소양강댐정상,5111025022,신북읍,2094,250002117,소양강댐정상,127.81268,37.9476,4,direct,molit_mobile_stop_no_to_chuncheon_stop_no,high,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240166,소양강댐주차장,5111025022,신북읍,,,,,,8,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240167,소양로1가,5111011300,소양로1가,,,,,,280,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240169,소양로2가,5111011400,소양로2가,,,,,,62,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
4240172,소양중학교,5111011900,사농동,,,,,,56,unresolved,,,1,2025-06-25/2025-06-28,2025-06-13|2026-03-26
