stop_no,management_id,stop_name,name_candidate_count,strict_candidate_count,selected_boarding_stop_id,current_route_count,boarding_route_count,decision,lookup_date
2303,250026567,강촌역,2,0,,,,unresolved_route_set_not_equal,2026-07-21
5956,257800106,용골상회,0,0,,,,unresolved_no_name_candidate,2026-07-21
5957,257800107,용골상회,0,0,,,,unresolved_no_name_candidate,2026-07-21
2628,250026903,강원대중앙도서관,2,0,,,,unresolved_route_set_not_equal,2026-07-21
2629,250026904,강원대중앙도서관,2,0,,,,unresolved_route_set_not_equal,2026-07-21
5958,257800108,반곡망단이,0,0,,,,unresolved_no_name_candidate,2026-07-21
5959,257800109,반곡망단이,0,0,,,,unresolved_no_name_candidate,2026-07-21
2468,250026741,구곡폭포종점,2,0,,,,unresolved_route_set_not_equal,2026-07-21
1458,250001725,거두1리,2,0,,,,unresolved_route_set_not_equal,2026-07-21
1459,250001726,거두1리,2,0,,,,unresolved_route_set_not_equal,2026-07-21
1597,250001951,폴리텍대학,2,0,,,,unresolved_route_set_not_equal,2026-07-21
5563,257001453,밤벌유원지,0,0,,,,unresolved_no_name_candidate,2026-07-21
5564,257001454,밤벌유원지,0,0,,,,unresolved_no_name_candidate,2026-07-21
2832,250027125,무림정사입구,0,0,,,,unresolved_no_name_candidate,2026-07-21
2833,250027126,무림정사입구,0,0,,,,unresolved_no_name_candidate,2026-07-21
2104,250002127,한림대학교,2,0,,,,unresolved_route_set_not_equal,2026-07-21
2175,250002198,산천1리,3,0,,,,unresolved_route_set_not_equal,2026-07-21
2176,250002199,산천1리,3,0,,,,unresolved_route_set_not_equal,2026-07-21
1482,250001749,강원대학병원,2,0,,,,unresolved_route_set_not_equal,2026-07-21
2177,250002200,산수빌A,2,0,,,,unresolved_route_set_not_equal,2026-07-21
5960,257800113,역전평,0,0,,,,unresolved_no_name_candidate,2026-07-21
5961,257800114,역전평,0,0,,,,unresolved_no_name_candidate,2026-07-21
1491,250001758,애니고등학교,2,0,,,,unresolved_route_set_not_equal,2026-07-21
1600,250001954,원창1리,1,0,,,,unresolved_route_set_not_equal,2026-07-21
1601,250001955,원창1리,1,0,,,,unresolved_route_set_not_equal,2026-07-21
1067,265000756,홈플러스,4,0,,,,unresolved_route_set_not_equal,2026-07-21
2416,250026689,홈플러스,4,0,,,,unresolved_route_set_not_equal,2026-07-21
