가로등위치,설치개수,소재지도로명주소,소재지지번주소,위도,경도,램프종류,관리기관전화번호,관리기관명,데이터기준일자
001-01,1,강원특별자치도 춘천시 신북읍 율문리 935-93,강원특별자치도 춘천시 신북읍 율문리 935-93,37.92476081,127.7474602,LED,033-250-3441,강원특별자치도 춘천시청,2026-06-10
001-02,1,강원특별자치도 춘천시 신북읍 율문리 935-91,강원특별자치도 춘천시 신북읍 율문리 935-91,37.92446899,127.7472839,LED,033-250-3441,강원특별자치도 춘천시청,2026-06-10
001-03,1,강원특별자치도 춘천시 신북읍 율문리 935-91,강원특별자치도 춘천시 신북읍 율문리 935-91,37.92429352,127.7470169,LED,033-250-3441,강원특별자치도 춘천시청,2026-06-10
001-04,1,강원특별자치도 춘천시 신북읍 율문리 935-86,강원특별자치도 춘천시 신북읍 율문리 935-86,37.92436767,127.7465919,LED,033-250-3441,강원특별자치도 춘천시청,2026-06-10
001-05,1,강원특별자치도 춘천시 신북읍 율문리 935-209,강원특별자치도 춘천시 신북읍 율문리 935-209,37.92434692,127.7462616,LED,033-250-3441,강원특별자치도 춘천시청,2026-06-10
001-06,1,강원특별자치도 춘천시 신북읍 율문리 935-52,강원특별자치도 춘천시 신북읍 율문리 935-52,37.92416879,127.7456324,LED,033-250-3441,강원특별자치도 춘천시청,2026-06-10
001-07,1,강원특별자치도 춘천시 신북읍 율문리 935-67,강원특별자치도 춘천시 신북읍 율문리 935-67,37.92403534,127.7451882,LED,033-250-3441,강원특별자치도 춘천시청,2026-06-10
001-08,1,강원특별자치도 춘천시 신북읍 율문리 935-176,강원특별자치도 춘천시 신북읍 율문리 935-176,37.92396545,127.7449417,LED,033-250-3441,강원특별자치도 춘천시청,2026-06-10
001-09,1,강원특별자치도 춘천시 신북읍 율문리 935-176,강원특별자치도 춘천시 신북읍 율문리 935-176,37.92388153,127.7446594,LED,033-250-3441,강원특별자치도 춘천시청,2026-06-10
001-10,1,강원특별자치도 춘천시 신북읍 율문리 935-176,강원특별자치도 춘천시 신북읍 율문리 935-176,37.92378998,127.7442703,LED,033-250-3441,강원특별자치도 춘천시청,2026-06-10
002-01,2,강원특별자치도 춘천시 신북읍 율문리 272-2,강원특별자치도 춘천시 신북읍 율문리 272-2,37.92525601,127.7512228,LED,033-250-3441,강원특별자치도 춘천시청,2026-06-10
002-02,2,강원특별자치도 춘천시 신북읍 율문리 272-2,강원특별자치도 춘천시 신북읍 율문리 272-2,37.92508316,127.7507019,LED,033-250-3441,강원특별자치도 춘천시청,2026-06-10
002-03,2,강원특별자치도 춘천시 신북읍 율문리 274-5,강원특별자치도 춘천시 신북읍 율문리 274-5,37.92488098,127.7502899,LED,033-250-3441,강원특별자치도 춘천시청,2026-06-10
002-04,2,강원특별자치도 춘천시 신북읍 율문리 275-7,강원특별자치도 춘천시 신북읍 율문리 275-7,37.92483373,127.749629,LED,033-250-3441,강원특별자치도 춘천시청,2026-06-10
002-05,2,강원특별자치도 춘천시 신북읍 율문리 276-11,강원특별자치도 춘천시 신북읍 율문리 276-11,37.92486191,127.7491989,LED,033-250-3441,강원특별자치도 춘천시청,2026-06-10
002-06,2,강원특별자치도 춘천시 신북읍 율문리 279-3,강원특별자치도 춘천시 신북읍 율문리 279-3,37.92491532,127.7488422,LED,033-250-3441,강원특별자치도 춘천시청,2026-06-10
002-07,2,강원특별자치도 춘천시 신북읍 율문리 282-5,강원특별자치도 춘천시 신북읍 율문리 282-5,37.92503357,127.7483139,LED,033-250-3441,강원특별자치도 춘천시청,2026-06-10
002-08,2,강원특별자치도 춘천시 신북읍 율문리 284-5,강원특별자치도 춘천시 신북읍 율문리 284-5,37.92516708,127.7477264,LED,033-250-3441,강원특별자치도 춘천시청,2026-06-10
