수집일자,노선아이디,노선번호,정류장아이디,정류장명,이용시간대,승차건수,하차건수,데이터 기준일자
2025-06-25,42410133,동내202,4240456,석사극동A,8,2,0,2025-12-09
2025-06-25,42410133,동내202,4240768,춘천지방법원,8,2,0,2025-12-09
2025-06-25,42410133,동내202,4240862,춘천사회혁신센터,8,4,0,2025-12-09
2025-06-25,42410133,동내202,4240889,거두2리,8,0,1,2025-12-09
2025-06-25,42410133,동내202,4240983,여성가족연구원,8,2,0,2025-12-09
2025-06-25,42410133,동내202,4241011,럭키A,8,2,0,2025-12-09
2025-06-25,42410133,동내202,4241256,춘천시보건소,8,2,0,2025-12-09
2025-06-25,42410133,동내202,4241600,공지사거리,8,2,0,2025-12-09
2025-06-25,42410133,동내202,4241718,국민연금공단,8,2,0,2025-12-09
2025-06-25,42410133,동내202,4241943,교육대학교,8,2,0,2025-12-09
2025-06-25,42410133,동내202,4242370,중앙로입구,8,4,0,2025-12-09
2025-06-25,42410133,동내202,4242627,거두농공단지종점,8,0,2,2025-12-09
2025-06-25,42410140,동내402,4241232,남부시장,8,2,0,2025-12-09
2025-06-25,42410140,동내402,4241257,춘천초등학교,8,0,2,2025-12-09
2025-06-25,42410140,동내402,4241593,한국토지주택공사,8,2,0,2025-12-09
2025-06-25,42410140,동내402,4242209,중앙로입구,8,0,10,2025-12-09
2025-06-25,42410140,동내402,4242960,중앙시장입구,8,0,1,2025-12-09
2025-06-25,42410141,동내403,4242370,중앙로입구,8,6,0,2025-12-09
2025-06-25,42410162,신동104,4241303,팔미쉼터,8,0,2,2025-12-09
2025-06-25,42410162,신동104,4243015,팔미3교,8,0,1,2025-12-09
2025-06-25,42410164,신동106,4241295,팔미3리,8,4,0,2025-12-09
2025-06-25,42410197,동면301,4241308,포스코후문,8,4,0,2025-12-09
2025-06-25,42410197,동면301,4242182,동부시장,8,2,0,2025-12-09
2025-06-25,42410197,동면301,4242370,중앙로입구,8,0,2,2025-12-09
2025-06-25,42410197,동면301,4242548,장학부영A,8,8,2,2025-12-09
2025-06-25,42410197,동면301,4242619,장학2리,8,2,0,2025-12-09
2025-06-25,42410199,동산501,4240147,석사A,8,4,0,2025-12-09
2025-06-25,42410199,동산501,4240693,조양2리,8,2,0,2025-12-09
2025-06-25,42410199,동산501,4241257,춘천초등학교,8,0,2,2025-12-09
