정류장 번호,관리번호,정류장명,정류장명(영어),경도,위도,데이터기준일
1001,250001192,대형약국,Daehyeong Pharmacy,127.77513,37.876,2026-03-26
1002,250001193,산림조합강원본부,National Forestry Cooperative Federation Gangwon,127.75358,37.88721,2026-03-26
1003,250001194,산림조합강원본부,National Forestry Cooperative Federation Gangwon,127.75325,37.88691,2026-03-26
1004,250001195,발산3리,Balsan 3(sam)-ri,127.74577,37.95909,2026-03-26
1005,250001196,금광터,Geumgwangteo Village,127.74637,37.95334,2026-03-26
1006,250001197,운전면허시험장,Driver’s License Examination Office,127.75083,37.94754,2026-03-26
1007,250001198,소양강댐주차장,Soyanggang Dam Parking Lot,127.80188,37.93802,2026-03-26
1008,250001199,폴리텍2캠퍼스,Korea Polytechnics 2nd Campus,127.73956,37.91212,2026-03-26
1009,250001200,월곡리,Wolgok-ri,127.79826,37.91739,2026-03-26
1010,250001201,감정리,Gamjeong-ri,127.78667,37.90375,2026-03-26
1011,250001202,중앙로입구,Jungang-ro Entrance,127.72307,37.87703,2026-03-26
1012,250001203,후평3동우체국,Hupyeong 3(sam)-dong Post Office,127.75277,37.87231,2026-03-26
1013,250001204,부안주유소,Buan Gas Station,127.7525,37.87252,2026-03-26
1014,250001205,후평중학교,Hupyeong Middle School,127.74843,37.87723,2026-03-26
1015,250001206,후평주공7단지,Hupyeong Jugong 7(chil)-danji,127.75107,37.87549,2026-03-26
1016,250001207,후평주공7단지,Hupyeong Jugong 7(chil)-danji,127.75119,37.87576,2026-03-26
1017,250001208,후평주공6단지,Hupyeong Jugong 6(yuk)-danji,127.74892,37.87425,2026-03-26
1018,250001209,후평주공6단지,Hupyeong Jugong 6(yuk)-danji,127.74837,37.87422,2026-03-26
1019,250001210,후평주공5단지,Hupyeong Jugong 5(o)-danji,127.74687,37.87345,2026-03-26
1020,250001211,후평동종점,Hupyeong-dong Terminus,127.74865,37.89326,2026-03-26
1021,250001212,후평동종점,Hupyeong-dong Terminus,127.74889,37.89333,2026-03-26
1022,250001213,후평주공4단지후문,Hupyeong Jugong 4(sa)-danji Rear Entrance,127.75764,37.8749,2026-03-26
