위도,경도,구분,명칭,주소,개수,담당부서,기준일자
37.88724,127.75365,정류장,산림조합강원본부,강원특별자치도 춘천시 후평1동 740-19,1,교통과,2026-06-01
37.88699,127.75322,정류장,산림조합강원본부,강원특별자치도 춘천시 후평1동 739,1,교통과,2026-06-01
37.95331,127.7463,정류장,금광터,강원특별자치도 춘천시 산천리 320-8,1,교통과,2026-06-01
37.94753,127.75073,정류장,운전면허시험장,강원특별자치도 춘천시 산천리 344-2,1,교통과,2026-06-01
37.93833,127.80195,정류장,소양강댐주차장,강원특별자치도 춘천시 천전리 15-3,1,교통과,2026-06-01
37.87707,127.72308,정류장,중앙시장환승센터,강원특별자치도 춘천시 낙원동  118-8,3,교통과,2026-06-01
37.87244,127.75268,정류장,후평3동우체국,강원특별자치도 춘천시 후평1동 891-7,1,교통과,2026-06-01
37.87243,127.75247,정류장,부안주유소,강원특별자치도 춘천시 후평2동 900,1,교통과,2026-06-01
37.87554,127.75105,정류장,후평주공7단지,강원특별자치도 춘천시 후평2동 477,1,교통과,2026-06-01
37.87572,127.75116,정류장,후평주공7단지,강원특별자치도 춘천시 후평2동 481-7,1,교통과,2026-06-01
37.87433,127.74887,정류장,후평주공6단지,강원특별자치도 춘천시 후평2동 477,1,교통과,2026-06-01
37.87422,127.74837,정류장,후평주공6단지,강원특별자치도 춘천시 후평2동 481-7,1,교통과,2026-06-01
37.87346,127.74691,정류장,후평주공5단지,강원특별자치도 춘천시 후평2동 481-7,1,교통과,2026-06-01
37.89324,127.74867,정류장,후평동종점,강원특별자치도 춘천시 후평1동 209-10,3,교통과,2026-06-01
37.89377,127.74885,정류장,후평동종점,강원특별자치도 춘천시 후평1동 209-9,3,교통과,2026-06-01
37.87492,127.75763,정류장,후평주공4단지후문,강원특별자치도 춘천시 후평3동 841,1,교통과,2026-06-01
37.87495,127.75778,정류장,후평주공4단지후문,강원특별자치도 춘천시 후평3동 887,1,교통과,2026-06-01
37.87624,127.75696,정류장,후평주공4단지,강원특별자치도 춘천시 후평3동 841,1,교통과,2026-06-01
37.87624,127.75709,정류장,대우A,강원특별자치도 춘천시 후평3동 869-10,1,교통과,2026-06-01
37.87624,127.75371,정류장,후평3동행복센터,강원특별자치도 춘천시 후평3동 824-1,1,교통과,2026-06-01
37.87646,127.7548,정류장,후평3동행복센터,강원특별자치도 춘천시 후평3동 841,1,교통과,2026-06-01
37.75749,127.62402,정류장,후동리,강원특별자치도 춘천시 후동리 223-1,1,교통과,2026-06-01
37.74268,127.63435,정류장,후동2리입구,강원특별자치도 춘천시 발산리 산 8-2,1,교통과,2026-06-01
37.75097,127.61969,정류장,후동,강원특별자치도 춘천시 후동리 299-3,1,교통과,2026-06-01
37.87579,127.73787,정류장,중부지구대,강원특별자치도 춘천시 효자3동 604-4,1,교통과,2026-06-01
37.73001,127.59613,정류장,황골,강원특별자치도 춘천시 발산리 845-12,1,교통과,2026-06-01
37.92214,127.72494,정류장,화목원,강원특별자치도 춘천시 사농동 651-1,1,교통과,2026-06-01
37.92221,127.72328,정류장,화목원,강원특별자치도 춘천시 사농동 217-310,1,교통과,2026-06-01
37.86557,127.75522,정류장,우석중학교,강원특별자치도 춘천시 석사동 788,1,교통과,2026-06-01
37.89005,127.71944,정류장,호반A,강원특별자치도 춘천시 근화동 789-1,1,교통과,2026-06-01
