시도,시군구,행정동,관리번호,설치장소명,도로명주소,지번주소,데이터기준일자
강원특별자치도,춘천시,신북읍,(스마트)신북읍1,신북사거리 국제만물 앞 교통섬,강원특별자치도 춘천시 신북읍 신샘밭로 373   ,강원특별자치도 춘천시 신북읍 율문리 272-67 ,2026-06-10
강원특별자치도,춘천시,신북읍,(스마트)신북읍2,빽다방 춘천신북샘밭점 앞 교통섬, ,강원특별자치도 춘천시 신북읍 율문리 909-61 ,2026-06-10
강원특별자치도,춘천시,동면,동면1,하주골 앞 보도, ,강원특별자치도 춘천시 동면 만천리 807-15 ,2026-06-10
강원특별자치도,춘천시,동면,동면2,장학교차로1(정봉기내과 앞), ,강원특별자치도 춘천시 동면 장학리 809-11 ,2026-06-10
강원특별자치도,춘천시,동면,동면3,장학교차로2(정봉기내과 우측), ,강원특별자치도 춘천시 동면 장학리 809-11 ,2026-06-10
강원특별자치도,춘천시,동면,동면4,장학교차로3(MS마트 앞), ,강원특별자치도 춘천시 동면 장학리 809-11 ,2026-06-10
강원특별자치도,춘천시,동면,동면5,장학교차로4(농협주유소 앞), ,강원특별자치도 춘천시 동면 장학리 809-11 ,2026-06-10
강원특별자치도,춘천시,동면,동면6,던킨 춘천장학점 앞,강원특별자치도 춘천시 동면 춘천로449번길 30   ,강원특별자치도 춘천시 동면 장학리 996-1 ,2026-06-10
강원특별자치도,춘천시,동면,동면7,세븐일레븐 춘천여고점 앞 횡단보도,강원특별자치도 춘천시 동면 춘천순환로 514   ,강원특별자치도 춘천시 동면 만천리 759-2 ,2026-06-10
강원특별자치도,춘천시,동면,동면8,티파니 스크린골프 앞 횡단보도, ,강원특별자치도 춘천시 동면 만천리 763-3 ,2026-06-10
강원특별자치도,춘천시,동면,동면9,장학리 해온채 입구,강원특별자치도 춘천시 동면 소양강로 102   (장학엘에이치해온채),강원특별자치도 춘천시 동면 장학리 988 ,2026-06-10
강원특별자치도,춘천시,동면,동면10,장학초등학교 옆 부영아파트 101동 건너편,강원특별자치도 춘천시 동면 춘천로449번길 33   ,강원특별자치도 춘천시 동면 장학리 990 ,2026-06-10
강원특별자치도,춘천시,동면,동면11,장학교 인근(전주명가콩나물국밥집 맞은편), ,강원특별자치도 춘천시 동면 장학리 1014 ,2026-06-10
강원특별자치도,춘천시,동면,동면12,맘스터치 만천점 앞 횡단보도, ,강원특별자치도 춘천시 동면 장학리 802-9 ,2026-06-10
강원특별자치도,춘천시,동면,(스마트)동면1,춘천장학LH1단지아파트 109동 앞 택시정류장,강원특별자치도 춘천시 동면 소양강로 100   (춘천장학엘에이치1단지),강원특별자치도 춘천시 동면 장학리 989 ,2026-06-10
강원특별자치도,춘천시,동면,(스마트)동면2,장학초등학교 후문 우측,강원특별자치도 춘천시 동면 소양강로 100   (춘천장학엘에이치1단지),강원특별자치도 춘천시 동면 장학리 989 ,2026-06-10
강원특별자치도,춘천시,동면,(스마트)동면3,너울숲공원(장학초 우측건너편 너울숲공원), ,강원특별자치도 춘천시 동면 장학리 1000 ,2026-06-10
강원특별자치도,춘천시,동내면,동내면2,동춘천농협 거두지점 앞(동내면 거두리 928), ,강원특별자치도 춘천시 동내면 거두리 928 ,2026-06-10
강원특별자치도,춘천시,동내면,동내면3,타나헤어 건너편(거두5교 인근)(동내면 거두리 1068), ,강원특별자치도 춘천시 동내면 거두리 1068 ,2026-06-10
강원특별자치도,춘천시,동내면,동내면4,채선당 건너편(거두5교 인근), ,강원특별자치도 춘천시 동내면 거두리 1068 ,2026-06-10
