순번,설치 정류장명,위도,경도,정류장 번호,설치 단말기 종류,설치연월,음성사용여부,표출시간,외국어지원여부,데이터기준일자
1,(구)102보충대,37.94078,127.7124,1515,LCD(거치형),2021-07-17,사용,05:00 ~ 23:30,사용,2025-11-14
2,위도입구,37.92494,127.721,1572,LCD(거치형),2021-07-17,사용,05:00 ~ 23:30,사용,2025-11-14
3,강원생명과학고,37.90781,127.72351,1373,LED(거치형),2015-07-28,사용,05:00 ~ 23:30,미사용,2025-11-14
4,사우사거리,37.89996,127.72835,2098,LCD(거치형),2015-07-28,사용,05:00 ~ 23:30,사용,2025-11-14
5,명진학교,37.89998,127.73468,1817,LCD(거치형),2019-09-14,사용,05:00 ~ 23:30,사용,2025-11-14
6,신북읍행복센터,37.92523,127.7469,2033,LED(거치형),2019-09-14,사용,05:00 ~ 23:30,미사용,2025-11-14
7,소양로1가,37.89146,127.72572,2092,LED(거치형),2020-12-16,사용,05:00 ~ 23:30,미사용,2025-11-14
8,여성가족연구원,37.85577,127.74872,1659,LCD(거치형),2021-07-17,사용,05:00 ~ 23:30,사용,2025-11-14
9,근화초교,37.88816,127.72462,1960,LED(거치형),2020-12-16,사용,05:00 ~ 23:30,미사용,2025-11-14
10,소양로우체국,37.88108,127.72618,1533,LCD(거치형),2015-07-28,사용,05:00 ~ 23:30,사용,2025-11-14
11,율문1리,37.92584,127.74357,1555,LCD(거치형),2019-09-14,사용,05:00 ~ 23:30,사용,2025-11-14
12,도재활병원삼거리,37.9032,127.73776,1935,LCD(거치형),2019-09-14,사용,05:00 ~ 23:30,사용,2025-11-14
13,명동입구,37.87912,127.72627,1819,LCD(거치형),2015-07-09,사용,05:00 ~ 23:30,사용,2025-11-14
14,중앙시장/중앙초교,37.87835,127.72499,1746,LCD(거치형),2015-07-09,사용,05:00 ~ 23:30,사용,2025-11-14
15,중앙시장,37.8785,127.72548,1747,LCD(거치형),2015-07-09,사용,05:00 ~ 23:30,사용,2025-11-14
16,현진에버빌3차,37.87507,127.72986,1163,LCD(거치형),2018-12-21,사용,05:00 ~ 23:30,사용,2025-11-14
17,방곡1리,37.79489,127.64248,1778,LED(거치형),2020-12-16,사용,05:00 ~ 23:30,미사용,2025-11-14
18,춘천초등학교,37.87608,127.72096,1155,LCD(거치형),2018-08-14,사용,05:00 ~ 23:30,사용,2025-11-14
19,파크자이A,37.86749,127.70853,2856,LCD(거치형),2022-09-05,사용,05:00 ~ 23:30,사용,2025-11-14
20,봉의초교,37.87511,127.72948,2203,LCD(거치형),2018-12-21,사용,05:00 ~ 23:30,사용,2025-11-14
21,육림고개,37.87721,127.73044,1560,LCD(거치형),2015-07-09,사용,05:00 ~ 23:30,사용,2025-11-14
22,육림고개,37.87717,127.73071,1561,LCD(거치형),2015-07-30,사용,05:00 ~ 23:30,사용,2025-11-14
23,봉의A,37.88675,127.74489,2206,LCD(거치형),2018-08-14,사용,05:00 ~ 23:30,사용,2025-11-14
24,시청입구,37.87961,127.72865,2054,LCD(거치형),2015-07-15,사용,05:00 ~ 23:30,사용,2025-11-14
25,강원일보,37.88255,127.72851,1479,LCD(거치형),2021-07-17,사용,05:00 ~ 23:30,사용,2025-11-14
26,춘천시청별관,37.88164,127.73258,1165,LCD(거치형),2016-09-30,사용,05:00 ~ 23:30,사용,2025-11-14
27,한림대학교,37.8835,127.73831,2104,LCD(독립형),2015-07-30,사용,05:00 ~ 23:30,미사용,2025-11-14
28,세경3차,37.88484,127.74415,2101,LCD(거치형),2019-09-14,사용,05:00 ~ 23:30,사용,2025-11-14
29,포스코후문,37.8817,127.74675,1102,LCD(거치형),2022-09-05,사용,05:00 ~ 23:30,사용,2025-11-14
30,크로바A,37.8805,127.74408,1143,LED(거치형),2020-12-16,사용,05:00 ~ 23:30,미사용,2025-11-14
