"정류장 번호","카카오 로드뷰 URL","그늘","의자","조명","도착안내기","비고"
"2303","https://map.kakao.com/link/roadview/37.80629,127.6343","","","","있음",""
"5956","https://map.kakao.com/link/roadview/37.69151,127.67979","","","","",""
"5957","https://map.kakao.com/link/roadview/37.69125,127.6799","","","","",""
"2628","https://map.kakao.com/link/roadview/37.8711,127.74415","","","","",""
"2629","https://map.kakao.com/link/roadview/37.87107,127.7443","","","","",""
"5958","https://map.kakao.com/link/roadview/37.69522,127.67385","","","","",""
"5959","https://map.kakao.com/link/roadview/37.69508,127.67378","","","","",""
"2468","https://map.kakao.com/link/roadview/37.79725,127.61677","","","","",""
"1458","https://map.kakao.com/link/roadview/37.86199,127.76704","","","","",""
"1459","https://map.kakao.com/link/roadview/37.86208,127.76721","","","","",""
"1597","https://map.kakao.com/link/roadview/37.79734,127.77377","","","","",""
"5563","https://map.kakao.com/link/roadview/37.69205,127.69013","","","","",""
"5564","https://map.kakao.com/link/roadview/37.69202,127.68996","","","","",""
"2832","https://map.kakao.com/link/roadview/37.86425,127.58285","","","","",""
"2833","https://map.kakao.com/link/roadview/37.8642,127.58272","","","","",""
"2104","https://map.kakao.com/link/roadview/37.88355,127.7384","","","","있음",""
"1735","https://map.kakao.com/link/roadview/37.89256,127.7556","","","","",""
"2175","https://map.kakao.com/link/roadview/37.94754,127.75226","","","","",""
"2176","https://map.kakao.com/link/roadview/37.94778,127.75233","","","","",""
"1482","https://map.kakao.com/link/roadview/37.87484,127.74331","","","","있음",""
"2177","https://map.kakao.com/link/roadview/37.84752,127.76486","","","","",""
"5960","https://map.kakao.com/link/roadview/37.72871,127.79631","","","","",""
"5961","https://map.kakao.com/link/roadview/37.72867,127.7965","","","","",""
"1491","https://map.kakao.com/link/roadview/37.90492,127.70024","","","","있음",""
"1600","https://map.kakao.com/link/roadview/37.78839,127.74998","","","","",""
"1601","https://map.kakao.com/link/roadview/37.78828,127.75005","","","","",""
"1067","https://map.kakao.com/link/roadview/37.85092,127.73385","","","","있음",""
"2416","https://map.kakao.com/link/roadview/37.85085,127.73411","","","","",""
"1914","https://map.kakao.com/link/roadview/37.84507,127.68557","","","","",""
"1915","https://map.kakao.com/link/roadview/37.84517,127.6857","","","","",""
"2214","https://map.kakao.com/link/roadview/37.87627,127.7463","","","","",""
"2017","https://map.kakao.com/link/roadview/37.98796,127.70284","","","","",""
"2075","https://map.kakao.com/link/roadview/37.98836,127.70335","","","","",""
"1868","https://map.kakao.com/link/roadview/37.88358,127.74144","","","","",""
"5049","https://map.kakao.com/link/roadview/37.70913,127.79775","","","","",""
"5574","https://map.kakao.com/link/roadview/37.7089,127.79772","","","","",""
"2561","https://map.kakao.com/link/roadview/37.84487,127.71321","","","","",""
"1978","https://map.kakao.com/link/roadview/37.87733,127.73768","","","","",""
"1307","https://map.kakao.com/link/roadview/37.89588,127.68049","","","","",""
"1696","https://map.kakao.com/link/roadview/38.0448,127.64548","","","","",""
"2144","https://map.kakao.com/link/roadview/37.89808,127.69374","","","","",""
"2145","https://map.kakao.com/link/roadview/37.89836,127.69411","","","","있음",""
"2726","https://map.kakao.com/link/roadview/37.95398,127.76895","","","","",""
"2727","https://map.kakao.com/link/roadview/37.95409,127.76894","","","","",""
"2310","https://map.kakao.com/link/roadview/37.86371,127.72481","","","","있음",""
"2317","https://map.kakao.com/link/roadview/37.86384,127.72476","","","","",""
"1372","https://map.kakao.com/link/roadview/37.90903,127.72324","","","","있음",""
"1373","https://map.kakao.com/link/roadview/37.9089,127.72299","","","","있음",""
"2388","https://map.kakao.com/link/roadview/37.85146,127.74471","","","","",""
"1270","https://map.kakao.com/link/roadview/37.78475,127.65051","","","","",""
"1500","https://map.kakao.com/link/roadview/37.76332,127.57735","","","","",""
"1525","https://map.kakao.com/link/roadview/37.78958,127.6471","","","","",""
"1693","https://map.kakao.com/link/roadview/37.78944,127.64697","","","","",""
"2458","https://map.kakao.com/link/roadview/37.76329,127.57751","","","","",""
"2272","https://map.kakao.com/link/roadview/37.86183,127.72745","","","","있음",""
"2809","https://map.kakao.com/link/roadview/37.8279,127.76397","","","","",""
"2810","https://map.kakao.com/link/roadview/37.82823,127.76405","","","","",""
"2094","https://map.kakao.com/link/roadview/37.9476,127.81268","","","","",""
"2630","https://map.kakao.com/link/roadview/37.86861,127.74135","","","","",""
"2631","https://map.kakao.com/link/roadview/37.86845,127.74149","","","","있음",""
"2507","https://map.kakao.com/link/roadview/37.89828,127.75381","","","","",""
"2304","https://map.kakao.com/link/roadview/37.80642,127.63372","","","","",""
"1313","https://map.kakao.com/link/roadview/37.97758,127.60217","","","","",""
