조사 순번,정류장 번호,관리번호,정류장명(카카오맵 표시명),정류장명(영어),경도,위도,현행 확인 출처,카카오맵 표시 방면,공식 노선순서 기반 진행방면,카카오맵 정류장 검색 URL,카카오 로드뷰 URL,그늘,의자,조명,도착안내기,촬영시점(YYYY.MM),조사자,비고
1,2303,250026567,강촌역,Gangchon Station,127.6343,37.80629,TAGO·카카오맵,강촌역입구 방면,강촌역입구 / 강촌1리회관 방면,https://map.kakao.com/link/search/%EA%B0%95%EC%B4%8C%EC%97%AD%202303%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/37.80629,127.6343",,,,있음,,,
2,5956,257800106,용골상회,Yonggol General Store,127.67979,37.69151,TAGO·카카오맵,반곡망단이 방면,반곡망단이 방면,https://map.kakao.com/link/search/%EC%9A%A9%EA%B3%A8%EC%83%81%ED%9A%8C%205956%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/37.69151,127.67979",,,,,,,
3,5957,257800107,용골상회,Yonggol General Store,127.6799,37.69125,TAGO·카카오맵,밤나무골 방면,밤나무골 방면,https://map.kakao.com/link/search/%EC%9A%A9%EA%B3%A8%EC%83%81%ED%9A%8C%205957%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/37.69125,127.6799",,,,,,,
4,2628,250026903,강원대중앙도서관,Kangwon National University Central Library,127.74415,37.8711,TAGO·카카오맵,강원대백록관 방면,강원대백록관 방면,https://map.kakao.com/link/search/%EA%B0%95%EC%9B%90%EB%8C%80%EC%A4%91%EC%95%99%EB%8F%84%EC%84%9C%EA%B4%80%202628%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/37.8711,127.74415",,,,,,,
5,2629,250026904,강원대중앙도서관,Kangwon National University Central Library,127.7443,37.87107,TAGO·카카오맵,강원대후문 방면,강원대후문 방면,https://map.kakao.com/link/search/%EA%B0%95%EC%9B%90%EB%8C%80%EC%A4%91%EC%95%99%EB%8F%84%EC%84%9C%EA%B4%80%202629%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/37.87107,127.7443",,,,,,,
6,5958,257800108,반곡망단이,Bangok Mangdani,127.67385,37.69522,TAGO·카카오맵,반곡교 방면,산수리감투봉 방면,https://map.kakao.com/link/search/%EB%B0%98%EA%B3%A1%EB%A7%9D%EB%8B%A8%EC%9D%B4%205958%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/37.69522,127.67385",,,,,,,
7,5959,257800109,반곡망단이,Bangok Mangdani,127.67378,37.69508,TAGO·카카오맵,밤나무골 방면,용골상회 방면,https://map.kakao.com/link/search/%EB%B0%98%EA%B3%A1%EB%A7%9D%EB%8B%A8%EC%9D%B4%205959%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/37.69508,127.67378",,,,,,,
8,2468,250026741,구곡폭포종점,Gugokpokpo Terminus,127.61677,37.79725,TAGO·카카오맵,강촌리 방면,강촌리 방면,https://map.kakao.com/link/search/%EA%B5%AC%EA%B3%A1%ED%8F%AD%ED%8F%AC%EC%A2%85%EC%A0%90%202468%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/37.79725,127.61677",,,,,,,
9,1458,250001725,거두1리,Geodu 1(il)-ri,127.76704,37.86199,TAGO·카카오맵,거두1리1반 방면,거두1리1반 방면,https://map.kakao.com/link/search/%EA%B1%B0%EB%91%901%EB%A6%AC%201458%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/37.86199,127.76704",,,,,,,
10,1459,250001726,거두1리,Geodu 1(il)-ri,127.76721,37.86208,TAGO·카카오맵,거두1리마을회관 방면,거두1리마을회관 방면,https://map.kakao.com/link/search/%EA%B1%B0%EB%91%901%EB%A6%AC%201459%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/37.86208,127.76721",,,,,,,
11,1597,250001951,폴리텍대학,Korea Polytechnics,127.77377,37.79734,TAGO·카카오맵,할렐루야기도원 방면,할렐루야기도원 방면,https://map.kakao.com/link/search/%ED%8F%B4%EB%A6%AC%ED%85%8D%EB%8C%80%ED%95%99%201597%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/37.79734,127.77377",,,,,,,
12,5563,257001453,밤벌유원지,Bambeol Recreation Area,127.69013,37.69205,TAGO·카카오맵,용장사입구 방면,용장사입구 방면,https://map.kakao.com/link/search/%EB%B0%A4%EB%B2%8C%EC%9C%A0%EC%9B%90%EC%A7%80%205563%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/37.69205,127.69013",,,,,,,
13,5564,257001454,밤벌유원지,Bambeol Recreation Area,127.68996,37.69202,TAGO·카카오맵,밤나무골 방면,밤나무골 방면,https://map.kakao.com/link/search/%EB%B0%A4%EB%B2%8C%EC%9C%A0%EC%9B%90%EC%A7%80%205564%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/37.69202,127.68996",,,,,,,
14,2832,250027125,무림정사입구,Murimjeongsa Entrance,127.58285,37.86425,TAGO·카카오맵,무림정사입구 방면,무림정사입구 방면,https://map.kakao.com/link/search/%EB%AC%B4%EB%A6%BC%EC%A0%95%EC%82%AC%EC%9E%85%EA%B5%AC%202832%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/37.86425,127.58285",,,,,,,
15,2833,250027126,무림정사입구,Murimjeongsa Entrance,127.58272,37.8642,TAGO·카카오맵,안보2리3반 방면,안보2리3반 방면,https://map.kakao.com/link/search/%EB%AC%B4%EB%A6%BC%EC%A0%95%EC%82%AC%EC%9E%85%EA%B5%AC%202833%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/37.8642,127.58272",,,,,,,
16,2104,250002127,한림대학교,Hallym University,127.7384,37.88355,TAGO·카카오맵,향교 방면,향교 / 인성병원 방면,https://map.kakao.com/link/search/%ED%95%9C%EB%A6%BC%EB%8C%80%ED%95%99%EA%B5%90%202104%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/37.88355,127.7384",,,,있음,,,
17,1735,265000872,장학교차로,Janghak Intersection,127.7556,37.89256,TAGO·카카오맵,춘천여고 방면,춘천여고 방면,https://map.kakao.com/link/search/%EC%9E%A5%ED%95%99%EA%B5%90%EC%B0%A8%EB%A1%9C%201735%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/37.89256,127.7556",,,,,,,
18,2175,250002198,산천1리,Sancheon 1(il)-ri,127.75226,37.94754,TAGO·카카오맵,강원도농업기술원 방면,강원도농업기술원 방면,https://map.kakao.com/link/search/%EC%82%B0%EC%B2%9C1%EB%A6%AC%202175%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/37.94754,127.75226",,,,,,,
19,2176,250002199,산천1리,Sancheon 1(il)-ri,127.75233,37.94778,TAGO·카카오맵,면허시험장입구 방면,면허시험장입구 방면,https://map.kakao.com/link/search/%EC%82%B0%EC%B2%9C1%EB%A6%AC%202176%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/37.94778,127.75233",,,,,,,
20,1482,250001749,강원대학병원,Kangwon National University Hospital,127.74331,37.87484,TAGO·카카오맵,푸른언덕공원 방면,푸른언덕공원 방면,https://map.kakao.com/link/search/%EA%B0%95%EC%9B%90%EB%8C%80%ED%95%99%EB%B3%91%EC%9B%90%201482%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/37.87484,127.74331",,,,있음,,,
21,2177,250002200,산수빌A,Sansubil Apartment,127.76486,37.84752,TAGO·카카오맵,신촌2리 방면,신촌2리 방면,https://map.kakao.com/link/search/%EC%82%B0%EC%88%98%EB%B9%8CA%202177%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/37.84752,127.76486",,,,,,,
22,5960,257800113,역전평,Yeokjeonpyeong,127.79631,37.72871,TAGO·카카오맵,굴지리종점 방면,굴지리종점 방면,https://map.kakao.com/link/search/%EC%97%AD%EC%A0%84%ED%8F%89%205960%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/37.72871,127.79631",,,,,,,
23,5961,257800114,역전평,Yeokjeonpyeong,127.7965,37.72867,TAGO,,조양2리 방면,https://map.kakao.com/link/search/%EC%97%AD%EC%A0%84%ED%8F%89%205961%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/37.72867,127.7965",,,,,,,
24,1491,250001758,애니고등학교,Gangwon Animation High School,127.70024,37.90492,TAGO·카카오맵,과수원마을입구 방면,과수원마을입구 방면,https://map.kakao.com/link/search/%EC%95%A0%EB%8B%88%EA%B3%A0%EB%93%B1%ED%95%99%EA%B5%90%201491%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/37.90492,127.70024",,,,있음,,,
25,1600,250001954,원창1리,Wonchang 1(il)-ri,127.74998,37.78839,TAGO·카카오맵,원창교 방면,원창교 방면,https://map.kakao.com/link/search/%EC%9B%90%EC%B0%BD1%EB%A6%AC%201600%20%EB%B2%84%EC%8A%A4%EC%A0%95%EB%A5%98%EC%9E%A5,"https://map.kakao.com/link/roadview/37.78839,127.74998",,,,,,,
