"운행일자","정산사업자","정류장아이디","정류장명","읍면동코드(법정동)","읍면동명(법정동)","모바일아이디"
"2025-06-13","이동의즐거움","4240010","남춘천역","5111012300","퇴계동","정보없음"
"2025-06-13","이동의즐거움","4240020","남춘천역","5111012300","퇴계동","정보없음"
"2025-06-13","이동의즐거움","4240238","퇴계농공단지입구","5111012300","퇴계동","정보없음"
"2025-06-13","이동의즐거움","4240783","광판1리_보건소","5111040022","남산면","정보없음"
"2025-06-13","이동의즐거움","4241510","춘천시외버스터미널","5111012100","온의동","정보없음"
"2025-06-13","이동의즐거움","4241514","신동면사무소앞","5111033024","신동면","정보없음"
"2025-06-13","이동의즐거움","4241515","신동면사무소앞","5111033024","신동면","정보없음"
"2025-06-13","이동의즐거움","4241682","광판초교","5111040022","남산면","정보없음"
"2025-06-13","이동의즐거움","4242210","화성주유소","5111012300","퇴계동","정보없음"
"2025-06-13","이동의즐거움","4242213","화성주유소","5111012300","퇴계동","정보없음"
"2025-06-13","이동의즐거움","4240001","강촌역입구","5111040026","남산면","정보없음"
"2025-06-13","이동의즐거움","4240002","강촌역입구","5111040026","남산면","정보없음"
"2025-06-13","이동의즐거움","4240003","강촌역","5111040027","남산면","정보없음"
"2025-06-13","이동의즐거움","4240004","강촌역","5111040026","남산면","정보없음"
"2025-06-13","이동의즐거움","4240005","성신양회","5111011700","근화동","정보없음"
"2025-06-13","이동의즐거움","4240006","굴봉산역","5111040029","남산면","정보없음"
"2025-06-13","이동의즐거움","4240007","굴봉산역","5111040029","남산면","정보없음"
"2025-06-13","이동의즐거움","4240008","백양리역","5111040029","남산면","정보없음"
"2025-06-13","이동의즐거움","4240010","남춘천역","5111012300","퇴계동","정보없음"
"2025-06-13","이동의즐거움","4240011","당간지주입구","5111011700","근화동","정보없음"
"2025-06-13","이동의즐거움","4240012","당간지주입구","5111011700","근화동","정보없음"
"2025-06-13","이동의즐거움","4240013","효자교","5111011200","효자동","정보없음"
"2025-06-13","이동의즐거움","4240014","퇴계일성A","5111012300","퇴계동","정보없음"
"2025-06-13","이동의즐거움","4240015","퇴계일성A","5111012300","퇴계동","정보없음"
"2025-06-13","이동의즐거움","4240016","효자교","5111011200","효자동","정보없음"
"2025-06-13","이동의즐거움","4240017","춘천역","5111011700","근화동","정보없음"
"2025-06-13","이동의즐거움","4240018","소양강처녀상","5111011700","근화동","정보없음"
"2025-06-13","이동의즐거움","4240019","소양강처녀상","5111011300","소양로1가","정보없음"
"2025-06-13","이동의즐거움","4240020","남춘천역","5111012300","퇴계동","정보없음"
"2025-06-13","이동의즐거움","4240021","호반베르디움","5111039021","동내면","정보없음"
"2025-06-13","이동의즐거움","4240022","금대울","5111031022","동면","정보없음"
"2025-06-13","이동의즐거움","4240023","여우고개사거리","5111012800","신동","정보없음"
"2025-06-13","이동의즐거움","4240024","여우고개사거리","5111012800","신동","정보없음"
"2025-06-13","이동의즐거움","4240025","홈플러스","5111012300","퇴계동","정보없음"
"2025-06-13","이동의즐거움","4240026","우두사거리","5111011800","우두동","정보없음"
